,:,:(,:),:-(,:-),:-/,:-D,:/,::,:@,:D,:P,:\,:o(,:p,:}
01-22-2016,1268.0,,1.0,,,,,,,,,,,,,
01-23-2016,2807.0,,5.0,,1.0,,,2.0,2.0,,1.0,,,,,
01-24-2016,2519.0,,2.0,,6.0,,,,1.0,,,,,,,
01-25-2016,6229.0,1.0,6.0,,3.0,,5.0,1.0,,,1.0,,5.0,,13.0,
01-26-2016,3223.0,2.0,1.0,,,,,,1.0,1.0,,,2.0,,,
01-27-2016,2914.0,1.0,9.0,,,,,,,,3.0,,,2.0,,2.0
01-28-2016,2851.0,2.0,3.0,,,,,,2.0,1.0,,1.0,,,,
01-29-2016,2576.0,,4.0,1.0,10.0,,,1.0,,10.0,,,,,1.0,
01-30-2016,3198.0,1.0,6.0,,1.0,,,,1.0,1.0,,,,,,2.0
01-31-2016,3613.0,,21.0,,2.0,,,,,,,,6.0,,,
02-01-2016,4022.0,2.0,6.0,,,1.0,,,,,,,,,,
